mode,n_units,MSE (mean),MSE (std)
keras-tf-default,16,0.24689329,0.057103742
keras-tf-custom,16,0.07060415,0.06979664
keras-tf-he,16,0.11653159,0.09471156
keras-tf-lecun,16,0.13150033,0.08441584
keras-torch-default,16,0.25672382,0.08010025
keras-torch-custom,16,0.06967138,0.09391961
keras-torch-he,16,0.091822244,0.106835596
keras-torch-lecun,16,0.14983359,0.100615986
keras-tf-default,32,0.22040823,0.079308465
keras-tf-custom,32,0.03252078,0.05684149
keras-tf-he,32,0.056932174,0.059933245
keras-tf-lecun,32,0.15256521,0.10467364
keras-torch-default,32,0.2737211,0.02765557
keras-torch-custom,32,0.0021709625,0.00092435925
keras-torch-he,32,0.03982964,0.07253694
keras-torch-lecun,32,0.09388842,0.11230246
keras-tf-default,64,0.21521144,0.080657125
keras-tf-custom,64,0.0010941338,0.00067475386
keras-tf-he,64,0.04085328,0.054360036
keras-tf-lecun,64,0.048490494,0.06302383
keras-torch-default,64,0.22943096,0.05477754
keras-torch-custom,64,0.0010461758,0.0009195871
keras-torch-he,64,0.018609546,0.042220466
keras-torch-lecun,64,0.046007052,0.089903384
